"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"620","jhanzo2","isds1102s4","jhanzo2_e1a_1536207182690.xlsx","2018-09-06 04:02:25","e1","a","87.5","e1a"
"621","pmanni4","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"622","pcassi3","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"623","jshelb5","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"624","dsmi286","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"625","jbolle3","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"626","tpayne8","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"627","cklous1","isds1102s4","cklous1_e1a_1536188153009.xlsx","2018-09-05 22:45:16","e1","a","81.25","e1a"
"628","cklous1","isds1102s4","cklous1_e1b_1536188467088.xlsx","2018-09-05 22:50:31","e1","b","68.75","e1b"
"629","nhagan2","isds1102s4","nhagan2_e1a_1536187627920.xlsx","2018-09-05 22:36:31","e1","a","100.0","e1a"
"630","nhagan2","isds1102s4","nhagan2_e1b_1536188120567.xlsx","2018-09-05 22:44:44","e1","b","87.5","e1b"
"631","rcome15","isds1102s4","rcome15_e1d_1536248347578.xlsx","2018-09-06 15:28:29","e1","d","0.0","e1d"
"632","rcome15","isds1102s4","rcome15_e1a_1536253985582.xlsx","2018-09-06 17:02:27","e1","a","81.25","e1a"
