"","pawsid","slackDomain","filename","timestamp","exercise","task","totalscore","chunk"
"451","csilas1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"452","dhupfe1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"453","cbrit13","isds1102s4","cbrit13_e1a_1536627229805.xlsx","2018-09-11 00:43:00","e1","a","93.75","e1a"
"454","cbrit13","isds1102s4","cbrit13_e1b_1536627681261.xlsx","2018-09-11 00:50:29","e1","b","93.75","e1b"
"455","cbrit13","isds1102s4","cbrit13_e1a_1536633902555.xlsx","2018-09-11 02:34:10","e1","a","93.75","e1a"
"456","cbrit13","isds1102s4","cbrit13_e1b_1536633909925.xlsx","2018-09-11 02:34:17","e1","b","93.75","e1b"
"457","dmccal7","isds1102s4","dmccal7_e1a_1536187829637.xlsx","2018-09-05 22:39:53","e1","a","93.75","e1a"
"458","dmccal7","isds1102s4","dmccal7_e1a_1536188549765.xlsx","2018-09-05 22:51:53","e1","a","93.75","e1a"
"459","dmccal7","isds1102s4","dmccal7_e1b_1536188656183.xlsx","2018-09-05 22:53:39","e1","b","93.75","e1b"
"460","dmccal7","isds1102s4","dmccal7_e1a_1536613965856.xlsx","2018-09-10 21:01:54","e1","a","93.75","e1a"
"461","dmccal7","isds1102s4","dmccal7_e1b_1536614023450.xlsx","2018-09-10 21:02:51","e1","b","93.75","e1b"
"462","dmccal7","isds1102s4","dmccal7_e1c_1536615898286.xlsx","2018-09-10 21:34:06","e1","c","60.5","e1c"
"463","dmccal7","isds1102s4","dmccal7_e1c_1536616180059.xlsx","2018-09-10 21:38:48","e1","c","70.5","e1c"
"464","dmccal7","isds1102s4","dmccal7_e1d_1536616777718.xlsx","2018-09-10 21:48:45","e1","d","100.0","e1d"
"465","gweber5","isds1102s4","gweber5_e1a_1536537416897.xlsx","2018-09-09 23:46:07","e1","a","87.5","e1a"
"466","gweber5","isds1102s4","gweber5_e1b_1536538097496.xlsx","2018-09-09 23:57:28","e1","b","100.0","e1b"
"467","gweber5","isds1102s4","gweber5_e1c_1536539914249.xlsx","2018-09-10 00:27:45","e1","c","85.0","e1c"
"468","gweber5","isds1102s4","gweber5_e1d_1536605578167.xlsx","2018-09-10 18:42:06","e1","d","100.0","e1d"
"469","cmayna5","isds1102s4","cmayna5_e1a_1536201803376.xlsx","2018-09-06 02:32:46","e1","a","100.0","e1a"
"470","bdoiro4","isds1102s3","bdoiro4_e1a_1534969540434.xlsx","2018-08-22 20:15:50","e1","a","100.0","e1a"
"471","bdoiro4","isds1102s3","bdoiro4_e1b_1534970148493.xlsx","2018-08-22 20:25:56","e1","b","100.0","e1b"
"472","bdoiro4","isds1102s3","bdoiro4_e1c_1534970773534.xlsx","2018-08-22 20:36:21","e1","c","83.3333333333","e1c"
"473","bdoiro4","isds1102s3","bdoiro4_e1d_1534971781860.xlsx","2018-08-22 20:53:09","e1","d","100.0","e1d"
"474","bdoiro4","isds1102s3","bdoiro4_e2a_1536279976020.xlsx","2018-09-07 00:15:37","e2","a","100.0","e2a"
"475","bdoiro4","isds1102s3","bdoiro4_e2d_1536283096384.xlsx","2018-09-07 01:07:36","e2","d","100.0","e2d"
"476","bdoiro4","isds1102s3","bdoiro4_e2b_1536291021627.xlsx","2018-09-07 03:19:41","e2","b","100.0","e2b"
"477","bdoiro4","isds1102s3","bdoiro4_e2c_1536291757356.xlsx","2018-09-07 03:31:58","e2","c","83.3333333333","e2c"
"478","bdoiro4","isds1102s3","bdoiro4_e2c_1536291867337.xlsx","2018-09-07 03:33:47","e2","c","100.0","e2c"
"479","bdoiro4","isds1102s3","bdoiro4_e2d_1536292648605.xlsx","2018-09-07 03:46:48","e2","d","100.0","e2d"
"480","bdoiro4","isds1102s3","bdoiro4_e2e_1536293197225.xlsx","2018-09-07 03:55:57","e2","e","100.0","e2e"
"481","dderoa1","isds1102s4","dderoa1_e1a_1536564136489.xlsx","2018-09-10 07:11:26","e1","a","100.0","e1a"
"482","dderoa1","isds1102s4","dderoa1_e1a_1536564190094.xlsx","2018-09-10 07:12:20","e1","a","100.0","e1a"
"483","csloat1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"484","elissa1","isds1102s3","elissa1_e1a_1536358619699.xlsx","2018-09-07 22:06:18","e1","a","99.5","e1a"
"485","elissa1","isds1102s3","elissa1_e1a_1536358670679.xlsx","2018-09-07 22:07:08","e1","a","93.25","e1a"
"486","elissa1","isds1102s3","elissa1_e1b_1536359830690.xlsx","2018-09-07 22:26:28","e1","b","100.0","e1b"
"487","inosac1","isds1102s4","inosac1_e1a_1536614212346.xlsx","2018-09-10 21:06:00","e1","a","99.0","e1a"
"488","gland31","isds1102s6","gland31_e1a_1535407491454.xlsx","2018-08-27 21:54:45","e1","a","100.0","e1a"
"489","gland31","isds1102s6","gland31_e1b_1535407627100.xlsx","2018-08-27 21:56:58","e1","b","100.0","e1b"
"490","gland31","isds1102s6","gland31_e1c_1535409414890.xlsx","2018-08-27 22:26:49","e1","c","93.3333333333","e1c"
"491","gland31","isds1102s6","gland31_e1d_1535409999574.xlsx","2018-08-27 22:36:31","e1","d","100.0","e1d"
"492","jopden1","isds1102s4",NA,NA,NA,NA,NA,"NANA"
"493","mbecn14","isds1102s6","mbecn14_e1a_1536187939166.xlsx","2018-09-05 22:41:42","e1","a","100.0","e1a"
"494","cboud79","isds1102s4","cboud79_e1a_1536188767020.xlsx","2018-09-05 22:55:30","e1","a","100.0","e1a"
"495","cboud79","isds1102s4","cboud79_e1b_1536529734809.xlsx","2018-09-09 21:38:06","e1","b","100.0","e1b"
"496","cboud79","isds1102s4","cboud79_e1c_1536532403498.xlsx","2018-09-09 22:22:34","e1","c","78.3333333333","e1c"
"497","cboud79","isds1102s4","cboud79_e1c_1536532544879.xlsx","2018-09-09 22:24:55","e1","c","88.3333333333","e1c"
"498","cboud79","isds1102s4","cboud79_e1d_1536607068530.xlsx","2018-09-10 19:06:57","e1","d","83.3333333333","e1d"
"499","bcrump2","isds1102s4","bcrump2_e1a_1536188040591.xlsx","2018-09-05 22:43:26","e1","a","87.5","e1a"
"500","bcrump2","isds1102s4","bcrump2_e1b_1536591970017.xlsx","2018-09-10 14:55:19","e1","b","100.0","e1b"
"501","alang24","isds1102s3","alang24_e1a_1536203695919.xlsx","2018-09-06 03:04:19","e1","a","86.5","e1a"
"502","chogan8","isds1102s3","chogan8_e1a_1536184834054.xlsx","2018-09-05 21:49:58","e1","a","96.5","e1a"
"503","chogan8","isds1102s3","chogan8_e1a_1536184930189.xlsx","2018-09-05 21:51:34","e1","a","100.0","e1a"
"504","chogan8","isds1102s3","chogan8_e1b_1536207519789.xlsx","2018-09-06 04:08:02","e1","b","100.0","e1b"
"505","chogan8","isds1102s3","chogan8_e1c_1536210513241.xlsx","2018-09-06 04:57:56","e1","c","100.0","e1c"
"506","chogan8","isds1102s3","chogan8_e1d_1536283353500.xlsx","2018-09-07 01:11:53","e1","d","66.6666666667","e1d"
"507","chogan8","isds1102s3","chogan8_e1d_1536283475498.xlsx","2018-09-07 01:13:55","e1","d","66.6666666667","e1d"
"508","chogan8","isds1102s3","chogan8_e1d_1536283596301.xlsx","2018-09-07 01:15:56","e1","d","66.6666666667","e1d"
"509","jrod131","isds1102s3","jrod131_e1b_1536182692992.xlsx","2018-09-05 21:14:17","e1","b","100.0","e1b"
"510","jrod131","isds1102s3","jrod131_e1a_1536207816480.xlsx","2018-09-06 04:12:59","e1","a","100.0","e1a"
"511","jrod131","isds1102s3","jrod131_e1c_1536210195431.xlsx","2018-09-06 04:52:40","e1","c","100.0","e1c"
"512","jrod131","isds1102s3","jrod131_e1d_1536282509262.xlsx","2018-09-07 00:57:49","e1","d","83.3333333333","e1d"
